C,epsilon,r2,error_ma,error_ms,error_rms,error_mp,error_max
2000,0.5,0.986698446364,1.74937929477,5.91592830983,2.43226814102,88.068353909,6.85087013941
4000,0.2,0.991672682341,2.00792377254,8.15506427942,2.85570731683,13.9009823413,6.69294004098
3000,0.1,0.990833179267,1.84054056704,6.5855879299,2.56624003747,45.1945910277,5.52784503772
3000,0.1,0.994260843247,1.7065222584,4.58584293474,2.14145813285,57.6940965915,5.60030277224
1000,0.3,0.991840535941,2.55026310817,9.66564169696,3.10896151423,14.0942067805,6.47295286033
2000,0.4,0.954914541279,3.11165816803,46.0439330572,6.78556799813,17.0849503324,28.2587009246
3000,0.4,0.984365466114,3.42898161718,17.4669522776,4.17934830776,15.7379072661,8.78036830703
3000,0.25,0.9892896915,2.26351257504,12.1999858543,3.49284781437,35.01361632,8.10224512062
3000,0.5,0.990351873217,2.53040168911,9.49312325202,3.0810912437,21.6206297368,6.04818537578
4000,0.5,0.992240302944,2.02071050475,7.75893383319,2.78548628307,9.86563467414,6.99498523917
